,data,ratio,type
235,pcc,0.0,random
236,pcc,0.0,random
237,pcc,0.0,random
238,pcc,0.0,random
239,pcc,0.015503875968992248,random
240,pcc,0.0,random
241,pcc,0.0,random
242,pcc,0.0,random
243,pcc,0.0,random
244,pcc,0.0,random
245,pcc,0.0,random
246,pcc,0.0,random
247,pcc,0.0,random
248,pcc,0.007692307692307693,random
249,pcc,0.0,random
250,pcc,0.0,random
251,pcc,0.0,random
252,pcc,0.0,random
253,pcc,0.0,random
254,pcc,0.007692307692307693,random
255,pcc,0.0,random
256,pcc,0.0,random
257,pcc,0.0,random
258,pcc,0.0,random
259,pcc,0.007692307692307693,random
260,pcc,0.0,random
261,pcc,0.0,random
262,pcc,0.007692307692307693,random
263,pcc,0.0,random
264,pcc,0.007692307692307693,random
265,pcc,0.007692307692307693,random
266,pcc,0.007692307692307693,random
267,pcc,0.0,random
268,pcc,0.0,random
269,pcc,0.0,random
270,pcc,0.007692307692307693,random
271,pcc,0.0,random
272,pcc,0.007692307692307693,random
273,pcc,0.007692307692307693,random
274,pcc,0.007692307692307693,random
275,pcc,0.007692307692307693,random
276,pcc,0.007692307692307693,random
277,pcc,0.0,random
278,pcc,0.0,random
279,pcc,0.0,random
280,pcc,0.0,random
281,pcc,0.0,random
282,pcc,0.0,random
283,pcc,0.0,random
284,pcc,0.0,random
285,pcc,0.0,random
286,pcc,0.0,random
287,pcc,0.0,random
288,pcc,0.0,random
289,pcc,0.007692307692307693,random
290,pcc,0.0,random
291,pcc,0.0,random
292,pcc,0.0,random
293,pcc,0.007692307692307693,random
294,pcc,0.0,random
295,pcc,0.007692307692307693,random
296,pcc,0.0,random
297,pcc,0.007692307692307693,random
298,pcc,0.0,random
299,pcc,0.0,random
300,pcc,0.007692307692307693,random
301,pcc,0.0,random
302,pcc,0.0,random
303,pcc,0.007692307692307693,random
304,pcc,0.0,random
305,pcc,0.0,random
306,pcc,0.0,random
307,pcc,0.015503875968992248,random
308,pcc,0.007692307692307693,random
309,pcc,0.015503875968992248,random
310,pcc,0.0,random
311,pcc,0.007692307692307693,random
312,pcc,0.015503875968992248,random
313,pcc,0.0,random
314,pcc,0.0,random
315,pcc,0.007692307692307693,random
316,pcc,0.0,random
317,pcc,0.0,random
318,pcc,0.007692307692307693,random
319,pcc,0.0,random
320,pcc,0.0,random
321,pcc,0.007692307692307693,random
322,pcc,0.0,random
323,pcc,0.0,random
324,pcc,0.0,random
325,pcc,0.0,random
326,pcc,0.0,random
327,pcc,0.007692307692307693,random
328,pcc,0.007692307692307693,random
329,pcc,0.0,random
330,pcc,0.0,random
331,pcc,0.007692307692307693,random
332,pcc,0.0,random
333,pcc,0.0,random
334,pcc,0.0,random
335,pcc,0.0,random
336,pcc,0.007692307692307693,random
337,pcc,0.007692307692307693,random
338,pcc,0.007692307692307693,random
339,pcc,0.0,random
340,pcc,0.007692307692307693,random
341,pcc,0.007692307692307693,random
342,pcc,0.0,random
343,pcc,0.0,random
344,pcc,0.0,random
345,pcc,0.007692307692307693,random
346,pcc,0.007692307692307693,random
347,pcc,0.0,random
348,pcc,0.0,random
349,pcc,0.007692307692307693,random
350,pcc,0.0,random
351,pcc,0.0,random
352,pcc,0.0,random
353,pcc,0.0,random
354,pcc,0.0,random
355,pcc,0.0,random
356,pcc,0.007692307692307693,random
357,pcc,0.0,random
358,pcc,0.007692307692307693,random
