orf_name,deg,eff,sens,trans,eigenvec_centr,closeness_centr,smallest_eigenvec,neighbor_degree,gene1,Systematic gene name
dal82,14,1.9649724627713039,0.4886570973188416,0.03296703296703297,1.4200889213067036e-05,0.2201546435551024,-0.0005407669783611649,7.5,dal82,YNL314W
aac1,2,0.08949913133221091,1.1814718794154881,0.0,3.38608968295101e-07,0.19478273943767854,-0.0005716943612681623,13.0,aac1,YMR056C
qdr2,12,2.547008934965786,0.5731347531361197,0.030303030303030304,5.992641061825418e-06,0.22738043001316366,-0.0005660005687802799,9.166666666666666,qdr2,YIL121W
dfg10,7,0.47191344021566606,0.4569296209684518,0.14285714285714285,2.534167355148562e-06,0.2229104830730847,-0.0005634849442480417,15.571428571428571,dfg10,YIL049W
aac3,2,0.03936491338696267,0.9621342884931215,0.0,2.6035454461166027e-07,0.2033831783037011,-0.0005569474010594473,19.0,aac3,YBR085W
pet309,31,3.546403720783937,0.7737627689816668,0.07956989247311828,1.299252529354777e-05,0.2470677982263755,-0.0005147333323645207,19.35483870967742,pet309,YLR067C
ald2,9,0.5216591563706268,0.6572092652530043,0.1111111111111111,3.2740052014201445e-06,0.22154766994442068,-0.0005423054969822781,21.11111111111111,ald2,YMR170C
aad10,14,2.0530565657658513,0.5352266930490911,0.04395604395604396,1.0947957223281325e-05,0.21566505743299483,-0.0005436266424777504,8.285714285714286,aad10,YJR155W
bna3,4,0.1410314068558226,0.882591435390148,0.3333333333333333,9.126978635590737e-07,0.2042167487684729,-0.0005535873903678079,18.0,bna3,YJL060W
dig2,10,0.5371038131134801,0.6271406695374602,0.15555555555555556,5.411374851528196e-06,0.2276501339893687,-0.0005410243766516623,23.8,dig2,YDR480W
inp54,12,0.44471127639064323,0.30921582205855,0.06060606060606061,0.0005792342645796753,0.23923179908591477,-0.0005005530211608811,21.5,inp54,YOL065C
mrp8,4,0.15011870211892686,0.6611682957601721,0.16666666666666666,9.92229605085283e-07,0.21067609871122495,-0.0005359683395028646,20.0,mrp8,YKL142W
pex7,14,0.8413640371101807,0.5259443646413166,0.25274725274725274,1.5910762481202446e-05,0.23522469359963685,-0.0005509698658194397,21.214285714285715,pex7,YDR142C
rgc1,8,0.5086998145475954,0.4854339456641308,0.17857142857142858,5.521969249236074e-06,0.22364162099175694,-0.0005211279576465668,17.125,rgc1,YPR115W
snf2,5,0.900512804414163,0.8892771170508399,0.2,2.538181378445758e-07,0.19765046914333664,-0.0005593918950158438,9.2,snf2,YOR290C
ygp1,17,4.277850325183281,0.5771507509273404,0.07352941176470588,9.202765233995449e-07,0.21872361978726995,-0.0005501368754305975,8.882352941176471,ygp1,YNL160W
